Property Address,Reference#,Mo,Yr,Price,Inst,Area,$/SF,YrBlt,GarType,Gar#,BR,FB,HB,BB,BH,C/A,FP,Bsmt,%Fin,Land SF,Zone,Exterior1,Style,Type
2613 DUFF AVE,05-35-126-040,06,2010,190000,WRD,1888,100.64,1966,Attachd,2,2,2,1,0,0,Yes,1,1517,63,16492,RL,BrkFace,1-Story,1FamDet
617 20TH ST,05-35-150-280,07,2011,138200,WRD,1144,120.80,1963,Detachd,1,3,1,1,1,0,Yes,0,1144,78,9204,RL,HdBoard,1-Story,1FamDet
2103 CLARK AVE,05-35-152-130,05,2011,138000,WRD,1143,120.73,1959,Attachd,1,3,1,0,1,0,Yes,0,1143,89,8050,RL,MetalSd,1-Story,1FamDet
2304 JENSEN AVE,05-35-152-250,06,2010,145000,WRD,1314,110.35,1957,Attachd,1,3,1,0,1,0,Yes,0,1314,70,8400,RL,MetalSd,1-Story,1FamDet
2312 CLARK AVE,05-35-153-150,06,2011,166000,WRD,1261,131.64,1958,Attachd,2,3,1,0,1,0,Yes,1,1261,52,9120,RL,MetalSd,1-Story,1FamDet
321 22ND ST,05-35-154-070,07,2011,160000,WRD,1457,109.81,1958,Detachd,2,3,1,0,1,0,Yes,1,1160,75,11266,RL,Wd Sdng,1-Story,1FamDet
2204 BURNETT AVE,05-35-154-110,07,2010,126000,WRD,1176,107.14,1960,Attachd,2,3,2,0,1,0,Yes,0,1176,54,10400,RL,VinylSd,1-Story,1FamDet
2105 BURNETT AVE,05-35-155-050,07,2011,139900,WRD,1176,118.96,1955,Detachd,1,3,2,0,0,0,Yes,0,960,19,8906,RL,Wd Sdng,1-Story,1FamDet
2305 DUFF AVE,05-35-175-060,04,2011,162400,WRD,1561,104.04,1958,Attachd,2,3,1,1,0,0,Yes,1,1441,80,10700,RL,VinylSd,1-Story,1FamDet
2222 KELLOGG AVE,05-35-175-170,03,2011,171250,WRD,1434,119.42,1959,Attachd,1,3,2,1,1,0,Yes,0,1434,74,10770,RL,VinylSd,1-Story,1FamDet
2113 KELLOGG AVE,05-35-178-020,06,2011,127000,WRD,1008,125.99,1955,Attachd,1,2,1,0,1,0,Yes,1,1008,69,8375,RL,Wd Sdng,1-Story,1FamDet
306 22ND ST,05-35-179-020,06,2010,159500,WRD,1580,100.95,1959,Attachd,2,3,1,1,1,0,Yes,2,1244,59,10032,RL,Wd Sdng,1-Story,1FamDet
2109 DUFF AVE,05-35-181-020,10,2010,128500,COD,1094,117.46,1957,Attachd,2,2,1,1,0,0,Yes,0,1094,72,10500,RL,MetalSd,1-Story,1FamDet
1909 WILSON AVE,05-35-300-090,11,2010,119000,WRD,1100,108.18,1955,Attachd,1,3,1,0,0,0,Yes,0,1100,50,8000,RL,Wd Sdng,1-Story,1FamDet
1920 CLARK AVE,05-35-302-200,06,2010,122500,WRD,972,126.03,1955,Attachd,1,3,1,0,0,0,Yes,0,972,67,10895,RL,MetalSd,1-Story,1FamDet
616 18TH ST,05-35-303-030,02,2011,174135,WRD,1790,97.28,1957,Attachd,2,3,2,0,0,0,Yes,2,998,0,14250,RL,Plywood,1-Story,1FamDet
616 18TH ST,05-35-303-030,03,2011,174500,WRD,1790,97.49,1957,Attachd,2,3,2,0,0,0,Yes,2,998,0,14250,RL,Plywood,1-Story,1FamDet
1723 WILSON AVE,05-35-303-060,03,2011,120000,WRD,1095,109.59,1955,Attachd,1,3,1,0,1,0,Yes,0,1095,66,8580,RL,MetalSd,1-Story,1FamDet
233 17TH ST,05-35-325-170,10,2010,165000,WRD,1393,118.45,1956,Attachd,2,2,2,0,0,0,Yes,1,894,0,7700,RL,HdBoard,1-Story,1FamDet
1704 DOUGLAS AVE,05-35-327-210,06,2011,160000,WRD,1384,115.61,1956,Attachd,2,2,1,0,1,0,Yes,0,1015,49,13300,RL,Wd Sdng,1-Story,1FamDet
1427 CLARK AVE,05-35-354-020,03,2011,112000,WRD,784,142.86,1949,Detachd,1,2,1,0,0,0,Yes,0,784,0,9106,RL,Wd Sdng,1-Story,1FamDet
1915 MAXWELL AVE,05-35-402-060,02,2011,159000,WRD,1190,133.61,1966,Attachd,2,3,1,1,0,0,Yes,1,1190,68,15400,RL,HdBoard,1-Story,1FamDet
104 E O NEIL DR,05-35-403-010,06,2011,123500,WRD,1044,118.30,1968,Attachd,2,3,1,1,0,1,Yes,1,912,82,10180,RL,HdBoard,1-Story,1FamDet
114 E O NEIL DR,05-35-403-030,09,2010,128000,WRD,952,134.45,1968,Attachd,1,3,1,0,1,0,Yes,0,952,100,8300,RL,Wd Sdng,1-Story,1FamDet
1604 CARROLL AVE,05-35-403-210,05,2011,137500,WRD,1105,124.43,1957,Detachd,1,3,1,0,0,0,Yes,0,1105,49,10454,RL,Plywood,1-Story,1FamDet
1609 CARROLL AVE,05-35-404-070,10,2010,111000,WRD,864,128.47,1957,Detachd,1,2,1,0,1,0,Yes,0,864,70,6634,RL,MetalSd,1-Story,1FamDet
1918 GEORGE ALLEN AVE,05-35-425-110,04,2011,160500,WRD,1350,118.89,1964,Attachd,2,3,1,1,1,0,Yes,1,1350,62,11434,RL,Wd Sdng,1-Story,1FamDet
503 CARR DR,05-35-426-270,08,2010,200000,WRD,1854,107.87,1957,Attachd,2,3,2,0,1,0,Yes,1,1518,91,13662,RL,HdBoard,1-Story,1FamDet
1421 STAFFORD AVE,05-35-451-100,03,2011,93000,WRD,1238,75.12,1950,Attachd,1,3,1,1,0,0,Yes,1,864,50,7200,RL,WdShing,1-Story,1FamDet
1307 MAXWELL AVE,05-35-456-040,07,2011,115000,WRD,1178,97.62,1961,Attachd,1,3,1,0,0,0,Yes,0,1178,53,8490,RL,BrkFace,1-Story,1FamDet
1326 MAXWELL AVE,05-35-457-090,06,2010,148000,WRD,1175,125.96,1960,Detachd,2,3,1,1,0,0,Yes,0,1175,80,7635,RL,BrkFace,1-Story,1FamDet
1308 MEADOWLANE AVE,05-35-477-180,04,2011,118500,WRD,864,137.15,1962,Detachd,1,2,1,0,0,0,Yes,0,864,64,6600,RL,Wd Sdng,1-Story,1FamDet
613 E 13TH ST,05-35-478-080,06,2011,95000,WRD,864,109.95,1962,Attachd,2,2,1,0,1,0,Yes,0,864,61,7000,RL,Wd Sdng,1-Story,1FamDet
1226 WILSON AVE,09-02-101-130,02,2011,100000,WRD,1163,85.98,1947,Attachd,1,2,1,0,0,0,Yes,0,0,0,5513,UCRM,BrkFace,1-Story,1FamDet
620 12TH ST,09-02-103-020,06,2011,161000,WRD,1063,151.46,2009,Attachd,1,2,1,0,0,0,Yes,0,1063,0,9786,UCRM,VinylSd,1-Story,1FamDet
513 9TH ST,09-02-110-090,06,2010,143000,WRD,1347,106.16,1957,Detachd,2,3,1,0,1,1,Yes,0,1347,100,5805,RM,MetalSd,1-Story,1FamDet
314 12TH ST,09-02-128-020,03,2011,96000,WRD,864,111.11,1950,Detachd,1,2,1,0,0,0,Yes,0,576,0,7200,UCRM,MetalSd,1-Story,1FamDet
120 E 7TH ST,09-02-404-010,10,2010,149000,WRD,1559,95.57,1948,Attachd,2,2,1,0,1,0,Yes,0,1559,68,8100,UCRM,VinylSd,1-Story,1FamDet
429 E 6TH ST,09-02-427-140,08,2011,89500,WRD,968,92.46,1956,Attachd,1,2,1,0,0,0,Yes,0,0,0,8626,UCRM,MetalSd,1-Story,1FamDet
