Year,month,inflation,unemployment
1990,Feb,0.004696060527002378,5.3
1990,Mar,0.005706874189364432,5.2
1990,Apr,0.001812532366649375,5.4
1990,May,0.0018092530369604256,5.4
1990,Jun,0.005654073502955655,5.2
1990,Jul,0.0040952137189658715,5.5
1990,Aug,0.00862725196650605,5.7
1990,Sep,0.008553459119496799,5.9
1990,Oct,0.00625,5.9
1990,Nov,0.0017469428500124498,6.2
1990,Dec,4.988775255674448e-4,6.3
1991,Jan,0.005457702803274734,6.4
1991,Feb,0.0017335314512134437,6.6
1991,Mar,0.0012367054167697253,6.8
1991,Apr,0.001974821031844017,6.7
1991,May,0.0029534826482894134,6.9
1991,Jun,0.0024551927326295114,6.9
1991,Jul,0.0017156862745097761,6.8
1991,Aug,0.002932551319648066,6.9
1991,Sep,0.004621746533690183,6.9
1991,Oct,9.720534629404065e-4,7
1991,Nov,0.0029076811243033407,7
1991,Dec,7.263922518160081e-4,7.3
1992,Jan,0.0019333011116481665,7.3
1992,Feb,0.0033718689788053403,7.4
1992,Mar,0.004793863854266539,7.4
1992,Apr,0.001675041876046874,7.4
1992,May,0.0016722408026756939,7.6
1992,Jun,0.003095975232198034,7.8
1992,Jul,0.0021387832699620584,7.7
1992,Aug,0.00284360189573457,7.6
1992,Sep,0.0028355387523629223,7.6
1992,Oct,0.0035319048740287263,7.3
1992,Nov,0.0014107688690336768,7.4
1992,Dec,-2.3518344308566026e-4,7.4
1993,Jan,0.004215456674473095,7.3
1993,Feb,0.003965477023559572,7.1
1993,Mar,0.0032550569634969403,7
1993,Apr,0.002551020408163186,7.1
1993,May,0.0018518518518518782,7.1
1993,Jun,9.250693802034627e-4,7
1993,Jul,4.623208506704703e-4,6.9
1993,Aug,0.002996082046554401,6.8
1993,Sep,0.0018403496664366492,6.7
1993,Oct,0.0038955087076076736,6.8
1993,Nov,0.0011444266422522317,6.6
1993,Dec,-2.2893772893765085e-4,6.5
1994,Jan,0.0022841480127912287,6.6
1994,Feb,0.0034145231049396768,6.6
1994,Mar,0.00408070732260261,6.5
1994,Apr,6.796556411417185e-4,6.4
1994,May,0.0011314777098891152,6.1
1994,Jun,0.0031581321903903317,6.1
1994,Jul,0.0024752475247523985,6.1
1994,Aug,0.004480286738351255,6
1994,Sep,0.0024581005586592685,5.9
1994,Oct,0.0011160714285714285,5.8
1994,Nov,0.0013374944271066043,5.6
1994,Dec,-4.460303300625457e-4,5.5
1995,Jan,0.004219409282700498,5.6
1995,Feb,0.0037610619469026297,5.4
1995,Mar,0.0033076074972436605,5.4
1995,Apr,0.0032967032967032967,5.8
1995,May,0.001755155770074619,5.6
1995,Jun,0.001970659075979806,5.6
1995,Jul,6.564551422319723e-4,5.7
1995,Aug,0.002183406113537118,5.7
1995,Sep,0.002178649237472767,5.6
1995,Oct,0.002824245057571174,5.5
1995,Nov,-4.346881112801318e-4,5.6
1995,Dec,-4.3487714720601324e-4,5.6
1996,Jan,0.005621621621621671,5.6
1996,Feb,0.0036622145626884718,5.5
1996,Mar,0.004930332261521997,5.5
1996,Apr,0.003630926954293013,5.6
1996,May,0.0017057569296375509,5.6
1996,Jun,0.0010649627263045794,5.3
1996,Jul,0.0019132653061224008,5.5
1996,Aug,0.0014858841010402153,5.1
1996,Sep,0.0033848106621535137,5.2
1996,Oct,0.002952963509808129,5.2
1996,Nov,0.0018947368421052154,5.4
1996,Dec,0,5.4
1997,Jan,0.0035661841829242474,5.3
1997,Feb,0.003136762860727729,5.2
1997,Mar,0.0022950135614438196,5.2
1997,Apr,8.338544923910304e-4,5.1
1997,May,-2.0850708924096306e-4,4.9
1997,Jun,0.0012494793835900997,5
1997,Jul,0.001040149781568546,4.9
1997,Aug,0.0018687707641196721,4.8
1997,Sep,0.002898550724637634,4.9
1997,Oct,0.002272257797975672,4.7
1997,Nov,-4.133085348213381e-4,4.6
1997,Dec,-0.0014486754966887183,4.7
1998,Jan,0.0020652622883106154,4.6
1998,Feb,0.0014435966178593291,4.6
1998,Mar,0.0018526142445451504,4.7
1998,Apr,0.002054231717337716,4.3
1998,May,0.0018453967603034188,4.4
1998,Jun,0.0010241704219582138,4.5
1998,Jul,0.0012274959083470186,4.5
1998,Aug,0.0016339869281045984,4.5
1998,Sep,0.0010201999591920015,4.6
1998,Oct,0.0024424994911459164,4.5
1998,Nov,0,4.4
1998,Dec,-6.109979633401453e-4,4.4
1999,Jan,0.002640666260410342,4.3
1999,Feb,0.0012172854534387623,4.4
1999,Mar,0.003033980582524272,4.2
1999,Apr,0.006830052229811237,4.3
1999,May,-2.0092425155720863e-4,4.2
1999,Jun,4.0168708576017e-4,4.3
1999,Jul,0.0026041666666666895,4.3
1999,Aug,0.0029958058717795086,4.2
1999,Sep,0.0043746271624577225,4.2
1999,Oct,0.0019845207382417148,4.1
1999,Nov,3.9674667724666826e-4,4.1
1999,Dec,0,4
2000,Jan,0.0033610122578093884,4
2000,Feb,0.005700805976017255,4.1
2000,Mar,0.007995319812792445,4
2000,Apr,7.794232268123362e-4,3.8
2000,May,7.788161993769028e-4,4
2000,Jun,0.0056147144240077,4
2000,Jul,0.001932367149758454,4
2000,Aug,1.931993817620223e-4,4.1
2000,Sep,0.005189313857389836,3.9
2000,Oct,0.0017267843438221236,3.9
2000,Nov,5.752636625118975e-4,3.9
2000,Dec,-7.676069852235219e-4,3.9
2001,Jan,0.006482364156339328,4.2
2001,Feb,0.004176950825897181,4.2
2001,Mar,0.002462121212121126,4.3
2001,Apr,0.003585582185317942,4.4
2001,May,0.004321683577602533,4.3
2001,Jun,0.002062628914306974,4.5
2001,Jul,-0.0031978931527462976,4.6
2001,Aug,3.760812335463178e-4,4.9
2001,Sep,0.004119850187266003,5
2001,Oct,-0.003382187147688753,5.3
2001,Nov,-0.0016939582156975175,5.5
2001,Dec,-0.003968253968253796,5.7
2002,Jan,0.0026385224274405902,5.7
2002,Feb,0.003942181340341698,5.7
2002,Mar,0.005228758169934556,5.7
2002,Apr,0.005755662829558156,5.9
2002,May,-1.8570102135565968e-4,5.8
2002,Jun,7.422527370569257e-4,5.8
2002,Jul,0.001112140871177058,5.8
2002,Aug,0.0031411677753142007,5.7
2002,Sep,0.0016602102933037765,5.7
2002,Oct,0.0020250368188512937,5.7
2002,Nov,-1.8412815319466532e-4,5.9
2002,Dec,-0.0022144307067725514,6
2003,Jan,0.004226387357589246,5.8
2003,Feb,0.007839562443026353,5.9
2003,Mar,0.005980427691192379,5.9
2003,Apr,-0.0023614895549499628,6
2003,May,-0.0014553392759686274,6.1
2003,Jun,0.0012718023255812714,6.3
2003,Jul,9.076057360682519e-4,6.2
2003,Aug,0.003797468354430421,6.1
2003,Sep,0.003064719668289247,6.1
2003,Oct,-7.216308858020765e-4,6
2003,Nov,-0.0028948796815630702,5.8
2003,Dec,-0.0010867596449918905,5.7
2004,Jan,0.005045954225986583,5.7
2004,Feb,0.005377307761247536,5.6
2004,Mar,0.00641139804096175,5.8
2004,Apr,0.0030184659090909897,5.6
2004,May,0.005649717514124173,5.6
2004,Jun,0.003167898627244048,5.6
2004,Jul,-0.0012334801762115338,5.5
2004,Aug,0.00017618040873858832,5.4
2004,Sep,0.0019342359767892082,5.4
2004,Oct,0.005595383808357985,5.5
