sowid	cg	nba	parity	nbd	sire	dam	farm	yearmo
985120023070607	62200409	10	1	0	C40LA11101	985120011548058	62	200409
985120023070607	62200502	13	2	0	C40LA11101	985120011548058	62	200502
985120023070607	62200507	10	3	0	C40LA11101	985120011548058	62	200507
985120023072957	62200412	12	1	0	C40LY52753	985120012132617	62	200412
985120023072957	62200504	12	2	0	C40LY52753	985120012132617	62	200504
985120023072957	62200509	16	3	0	C40LY52753	985120012132617	62	200509
985120023073198	62200410	13	1	0	C62LA2746	985120012076420	62	200410
985120023073297	62200406	9	1	0	C40LA11098	985120012075185	62	200406
985120023073297	62200410	9	2	1	C40LA11098	985120012075185	62	200410
985120023073297	62200503	10	3	0	C40LA11098	985120012075185	62	200503
985120023073297	62200507	10	4	0	C40LA11098	985120012075185	62	200507
985120023152513	62200410	10	1	0	C40LY52753	985120011556434	62	200410
985120023158221	62200502	8	1	9	C40LA11101	985120012125009	62	200502
985120023158221	62200507	8	2	0	C40LA11101	985120012125009	62	200507
985120023158221	62200511	10	3	0	C40LA11101	985120012125009	62	200511
985120023212163	62200507	5	1	0	010891	985120012069813	62	200507
985120023212840	62200503	4	1	0	C40LA11101	985120012120944	62	200503
985120023212840	62200508	15	2	0	C40LA11101	985120012120944	62	200508
985120023212840	62200512	13	3	0	C40LA11101	985120012120944	62	200512
985120023212840	62200605	14	4	0	C40LA11101	985120012120944	62	200605
985120023213514	62200504	9	1	0	C61LB2171	985120012144345	62	200504
985120023213514	62200509	6	2	2	C61LB2171	985120012144345	62	200509
985120023213514	62200602	6	3	0	C61LB2171	985120012144345	62	200602
985120023216935	62200203	15	1	1	C63LW11849	C63LW10945	62	200203
985120023216935	62200208	14	2	0	C63LW11849	C63LW10945	62	200208
985120023220587	62200509	9	1	0	011864	985120020557751	62	200509
985120023220587	62200601	12	2	0	011864	985120020557751	62	200601
985120023220865	62200503	8	1	0	C40LA11101	985120012120944	62	200503
985120023220865	62200508	11	2	0	C40LA11101	985120012120944	62	200508
985120023223725	62200203	10	1	0	C60LW7856	C60LU11698	62	200203
985120023223725	62200208	13	2	0	C60LW7856	C60LU11698	62	200208
985120023226217	62200203	11	1	0	C63LX1597	C63LW4378	62	200203
985120023252531	62200504	11	1	0	C61LB1437	985120011681308	62	200504
985120023252531	62200508	13	2	0	C61LB1437	985120011681308	62	200508
985120023252531	62200601	13	3	0	C61LB1437	985120011681308	62	200601
